Ticker,Company,Tweet,RoundDate,RoundTime,ID,Open,Close,PctChange,Sentiment,,,,,,,
WHR,whirlpool,rt @whitehouse: live: president @realdonaldtrump delivers remarks at whirlpool corporation manufacturing plant https://t.co/2vc0eyoqok,8/6/20,9:30,1.29146E+18,173.0599976,169.6346436,-0.02,Negative,,,,,,,
WFC,wells fargo,"“if the fed backs off and starts talking a little more dovish, i think we’re going to be right back to our 2,800 to 2,900 target range that we’ve had for the s&amp,p 500.” scott wren, wells fargo.",10/30/18,12:53,1.05725E+18,52.45000076,48.30751038,-0.08,Positive,,,,,,,
WFC,wells fargo,"fines and penalties against wells fargo bank for their bad acts against their customers and others will not be dropped, as has incorrectly been reported, but will be pursued and, if anything, substantially increased. i will cut regs but make penalties severe when caught cheating!",12/8/17,15:18,9.39152E+17,59.31000137,53.26081085,-0.10,Negative,,,,,,,
WMT,walmart,rt @ivankatrump: thank you @walmartinc for taking extraordinary measures to support american workers. you are a shining example of american…,3/23/20,12:46,1.24207E+18,114.1699982,113.313652,-0.01,Negative,,,,,,,
WMT,walmart,walmart announces great numbers. no impact from tariffs (which are contributing $billions to our treasury). inflation low (do you hear that powell?)!,11/14/19,14:32,1.19499E+18,124.5999985,118.5709457,-0.05,Positive,,,,,,,
WMT,walmart,"walmart, a great indicator as to how the u.s. is doing, just released outstanding numbers. our country, unlike others, is doing great! don’t let the fake news convince you otherwise.",8/15/19,9:30,1.1621E+18,112.5299988,110.7481232,-0.02,Positive,,,,,,,
UNH,unitedhealth,"rt @seemacms: thanks, @unitedhealthgrp, for helping ensure your communities have coverage for the #covid19 testing and treatment they need.",3/12/20,13:51,1.2381E+18,260,247.2419739,-0.05,Negative,,,,,,,
UDR,udr,rt @michaelcoudrey: good morning to everyone except judge sullivan and the corrupt fbi agents that tried to prosecute general flynn under f…,9/25/20,14:11,1.3095E+18,31.77000046,32.07862854,0.01,Negative,,,,,,,
UDR,udr,rt @michaelcoudrey: new data: a french study has demonstrated evidence that the combination of hydroxychloroquine &amp; azithromycin are highly…,3/23/20,9:30,1.2414E+18,31.95999908,29.14339066,-0.09,Positive,,,,,,,
UDR,udr,"rt @michaelcoudrey: everyone who thinks coronavirus is harmless or doesn’t matter should rethink that opinion immediately.

this is an extr…",3/23/20,9:30,1.2414E+18,31.95999908,29.14339066,-0.09,Positive,,,,,,,
UDR,udr,thank you audrey! https://t.co/2bhovvov6r,3/6/20,9:30,1.23577E+18,47.58000183,46.86808395,-0.02,Positive,,,,,,,
UDR,udr,"i want to thank the @vfwhq for your devotion to our fallen heroes, unknown soldiers, prisoners of war, those missing in action, and their families. #vfwconvention https://t.co/15ygfhcudr",7/24/18,9:30,1.02184E+18,36.68999863,33.87242889,-0.08,Positive,,,,,,,
TPR,tapestry,"the heroes who rest in these hallowed fields, in cemeteries, battlefields, and burial grounds near and far are drawn the full tapestry of american life. they came from every generation from towering cities and wind swept prairies, from privilege and from poverty... https://t.co/aow3qwn2sv",5/28/18,9:30,1.00115E+18,43.91999817,40.12939835,-0.09,Positive,,,,,,,
SBUX,starbucks,"howard schultz doesn’t have the “guts” to run for president! watched him on @60minutes last night and i agree with him that he is not the “smartest person.” besides, america already has that! i only hope that starbucks is still paying me their rent in trump tower!",1/28/19,13:41,1.08988E+18,66.19000244,64.33998108,-0.03,Positive,,,,,,,
LUV,southwest airlines,"today, it was my great honor to thank and welcome heroic crew members and passengers of southwest airlines flight 1380 at the @whitehouse! https://t.co/fyygwtoddi",5/1/18,9:30,9.91403E+17,52.79999924,51.5786171,-0.02,Positive,,,,,,,
SRE,sempra energy,"with incredible grit, skill, and pride, the 7,000 workers here at sempra energy are helping lead the american energy revolution. they are not only making our nation wealthier but they are making america safer by building a future of american energy independence! https://t.co/hqn9weixo9",5/14/19,9:30,1.12841E+18,129.7599945,123.2318344,-0.05,Negative,,,,,,,
